time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-07T20:23:48.260Z,33.2391667,-116.6505,11.88,0.89,ml,29,52,0.04,0.13,ci,ci40179464,2022-02-07T23:31:49.886Z,"5km SSW of Warner Springs, CA",earthquake,0.17,0.32,0.151,10,reviewed,ci,ci
2022-02-07T20:21:31.960Z,51.8681666666667,-177.961,7.29,0.13,ml,4,145,,0.06,av,av91049143,2022-02-08T02:55:27.150Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,0.44,0.91,0.215126140585159,4,reviewed,av,av
2022-02-07T20:10:19.890Z,34.9935,-118.1935,-0.82,1.24,ml,14,78,0.118,0.15,ci,ci40179432,2022-02-07T23:21:31.830Z,"7km SSW of Mojave, CA",quarry blast,0.39,31.61,0.13,8,reviewed,ci,ci
2022-02-07T20:05:54.170Z,45.998,-112.4733333,-2,1.44,ml,12,111,0.058,0.08,mb,mb80537864,2022-02-07T20:48:57.420Z,"4 km E of Butte, Montana",quarry blast,0.45,31.61,0.198,7,reviewed,mb,mb
2022-02-07T20:02:01.990Z,19.4616661071777,-155.401672363281,-1.32000005245209,1.86000001,md,17,78,,0.230000004,hv,hv72907777,2022-02-07T20:05:21.140Z,"17 km W of Volcano, Hawaii",earthquake,0.33,0.419999987,0.920000017,8,automatic,hv,hv
2022-02-07T20:01:18.720Z,38.8168335,-122.7608337,1.98,0.7,md,11,117,0.01535,0.03,nc,nc73689841,2022-02-07T20:39:13.380Z,"3km W of Cobb, CA",earthquake,0.34,0.7,0.16,2,automatic,nc,nc
2022-02-07T19:59:34.750Z,38.8088341,-122.7975006,3.22,0.45,md,11,78,0.001922,0.02,nc,nc73689836,2022-02-07T20:27:14.301Z,"5km NW of The Geysers, CA",earthquake,0.46,1.14,0.38,2,automatic,nc,nc
2022-02-07T19:45:08.530Z,38.7504997,-122.6986694,0.79,0.83,md,8,137,0.01766,0.07,nc,nc73689831,2022-02-07T20:15:14.223Z,"3km SSW of Anderson Springs, CA",earthquake,0.39,0.86,0.04,3,automatic,nc,nc
2022-02-07T19:37:45.420Z,36.498333,-121.0764999,4.7,2.21,md,15,93,0.04549,0.08,nc,nc73689826,2022-02-07T22:29:12.018Z,"7km ESE of Pinnacles, CA",earthquake,0.27,0.93,0.21,15,automatic,nc,nc
2022-02-07T19:33:03.212Z,61.6195,-152.2537,119.4,1.9,ml,,,,0.79,ak,ak0221r5xibd,2022-02-07T19:52:43.440Z,"61 km SW of Skwentna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2022-02-07T19:31:30.600Z,19.1923332214355,-155.382827758789,31.3999996185303,2.38,ml,44,164,,0.129999995,hv,hv72907747,2022-02-07T19:37:02.010Z,"10 km E of Pāhala, Hawaii",earthquake,0.65,0.769999981,3.98,5,automatic,hv,hv
2022-02-07T19:23:13.110Z,61.3253333333333,-152.27,2.54,-0.53,ml,4,160,,0.05,av,av91049138,2022-02-08T02:52:11.300Z,"66 km WNW of Beluga, Alaska",earthquake,0.59,1.07,0.208758690050996,4,reviewed,av,av
2022-02-07T19:22:01.629Z,61.3173,-152.2619,7.5,0.9,ml,,,,0.11,ak,ak0221r5v54y,2022-02-08T02:49:39.620Z,"66 km WNW of Beluga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-07T19:21:30.640Z,38.8383331,-122.8248367,1.7,0.37,md,7,92,0.008321,0.01,nc,nc73689821,2022-02-07T19:33:10.973Z,"9km WNW of Cobb, CA",earthquake,0.85,1.81,,1,automatic,nc,nc
2022-02-07T19:20:48.390Z,41.094,-111.641,13.33,1.04,md,17,67,0.1628,0.14,uu,uu60480762,2022-02-07T19:41:49.150Z,"7 km NNE of Morgan, Utah",earthquake,0.36,0.64,0.237,9,reviewed,uu,uu
2022-02-07T19:18:31.050Z,38.8158333,-122.8256667,2.3,0.39,md,22,55,0.007477,0.02,nc,nc73689816,2022-02-08T01:24:10.017Z,"7km NW of The Geysers, CA",earthquake,0.22,0.41,0.179,3,reviewed,nc,nc
2022-02-07T19:09:09.929Z,38.1922,-117.7353,8.8,2,ml,19,115.46,0.118,0.1158,nn,nn00833419,2022-02-08T02:38:10.965Z,"39 km SE of Mina, Nevada",earthquake,,2.8,0.13,7,reviewed,nn,nn
